"Title","Year","Keywords","Agency"
"Can Strong Creditors  Inhibit Entrepreneurial Activity?","2021","Churning; Creditor; Leverage (statistics); Business; Margin (machine learning); Finance; Monetary economics; Economics; Labour economics; Debt; Machine learning; Computer science","UIUC"
"Can the Unemployed Borrow? Implications for Public Insurance","2022","Business","USC"
"Can the Unemployed Borrow? Implications for Public Insurance","2022","Business","USC"
"Can the Unemployed Borrow? Implications for Public Insurance","2022","Business","USC"
"Capacity use in multi-unit firms: evidence for efficiency gains or strategic competition in the US restaurant industry?","2011","Microdata (statistics); Profitability index; Economics; Economies of scale; Competition (biology); Capacity utilization; Metropolitan area; Rivalry; Product proliferation; Distribution (mathematics); Unit (ring theory); Industrial organization; Returns to scale; Business; Production (economics); Microeconomics; New product development; Census; Medicine; Ecology; Population; Mathematical analysis; Demography; Mathematics; Mathematics education; Finance; Pathology; Product management; Sociology; Biology; Management","Chicago"
"Capital and Labor Reallocation Inside Firms","2013","Labour economics; Business; Capital (architecture); Economics; Geography; Archaeology","Boston"
"Capital and Labor Reallocation Inside Firms","2013","Labour economics; Business; Capital (architecture); Economics; Geography; Archaeology","Boston"
"Capital and Labor Reallocation within Firms","2015","Productivity; Capital (architecture); Shock (circulatory); Business; Capital call; Investment (military); Labour economics; Resource (disambiguation); Capital investment; Economics; Industrial organization; Natural resource economics; Market economy; Finance; Financial capital; Human capital; Individual capital; Macroeconomics; Medicine; Computer network; Archaeology; Politics; Political science; Computer science; Internal medicine; Law; History","Boston"
"Capital Investment and Labor Demand","2022","Investment (military); Capital investment; Labour economics; Economics; Capital (architecture); Business; Finance; Geography; Political science; Archaeology; Politics; Law","Triangle"
"Capital Investment and Labor Demand","2022","Investment (military); Capital investment; Labour economics; Economics; Capital (architecture); Business; Finance; Geography; Political science; Archaeology; Politics; Law","Triangle"
"Carbon Tax Competitiveness Concerns: Assessing a Best Practices Carbon Credit","2017","Carbon tax; Tax credit; Revenue; Economics; Business; Compensation (psychology); Environmental tax; Carbon credit; Public economics; Monetary economics; Tax reform; Finance; Greenhouse gas; Psychology; Ecology; Psychoanalysis; Biology","Boston"
"Career Concerns and the Busy Life of the Young CEO","2017","Divestment; Business; Investment (military); Capital (architecture); Labour economics; Human capital; Demographic economics; Capital investment; Monetary economics; Finance; Economics; Market economy; Political science; Archaeology; Politics; Law; History","Michigan"
"Career Concerns and the Busy Life of the Young CEO","2017","Divestment; Business; Investment (military); Capital (architecture); Labour economics; Human capital; Demographic economics; Capital investment; Monetary economics; Finance; Economics; Market economy; Political science; Archaeology; Politics; Law; History","Michigan"
"Cementing Relationships: Vertical Integration, Foreclosure, Productivity, and Prices","2008","Foreclosure; Vertical integration; Productivity; Industrial organization; Market power; Economics; Business; Microeconomics; Natural resource economics; Macroeconomics; Finance; Monopoly","Chicago"
"Cementing Relationships: Vertical Integration, Foreclosure, Productivity, and Prices","2008","Foreclosure; Vertical integration; Productivity; Industrial organization; Market power; Economics; Business; Microeconomics; Natural resource economics; Macroeconomics; Finance; Monopoly","Chicago"
"Cementing Relationships: Vertical Integration, Foreclosure, Productivity, and Prices","2008","Foreclosure; Vertical integration; Productivity; Industrial organization; Market power; Economics; Business; Microeconomics; Natural resource economics; Macroeconomics; Finance; Monopoly","Chicago"
"Cementing Relationships: Vertical Integration, Foreclosure, Productivity, and Prices","2008","Foreclosure; Vertical integration; Productivity; Industrial organization; Market power; Economics; Business; Microeconomics; Natural resource economics; Macroeconomics; Finance; Monopoly","Chicago"
"Challenges in the Measurement of Leakage Risk","2018","Carbon leakage; Leakage (economics); Climate change; LOOM; Greenhouse gas; Business; Political science; Engineering; Economics; Climate policy; Macroeconomics; Mechanical engineering; Ecology; Biology","Berkeley"
"Changes in Firm Pension Policy: Trends Away from Traditional Defined Benefit Plans","2012","Pension; Solvency; Balance (ability); Business; Social security; Private pension; Surety; Cash; Labour economics; Welfare; Workforce; Economics; Finance; Economic growth; Medicine; Market economy; Market liquidity; Physical medicine and rehabilitation","Michigan"
"Characteristics of Respondents Missing MIGPR Information in ACS, 2005-2019","2023","income; sird; ssel; workers; data","Colorado"
"Cheap Imports and the Loss of U.S. Manufacturing Jobs","2016","Business; International trade; Industrial organization","UCLA"
"Cheap Imports and the Loss of U.S. Manufacturing Jobs","2016","Business; International trade; Industrial organization","UCLA"
"Cheaper by the Dozen: Using Sibling Discounts at Catholic Schools to Estimate the Price Elasticity of Private School Attendance","2011","Dozen; Attendance; Sibling; Economics; Price elasticity of demand; Private information retrieval; Demographic economics; Labour economics; Business; Microeconomics; Statistics; Mathematics; Management; Economic growth; Arithmetic","Boston"
"Cheaper by the Dozen: Using Sibling Discounts at Catholic Schools to Estimate the Price Elasticity of Private School Attendance","2011","Dozen; Attendance; Sibling; Economics; Price elasticity of demand; Private information retrieval; Demographic economics; Labour economics; Business; Microeconomics; Statistics; Mathematics; Management; Economic growth; Arithmetic","Boston"
"Cheaper by the Dozen: Using Sibling Discounts at Catholic Schools to Estimate the Price Elasticity of Private School Attendance","2011","Dozen; Attendance; Sibling; Economics; Price elasticity of demand; Private information retrieval; Demographic economics; Labour economics; Business; Microeconomics; Statistics; Mathematics; Management; Economic growth; Arithmetic","Boston"
"Cities, Immigrant Diversity and Complex Problem Solving","2017","Diversity (politics); Extant taxon; Immigration; Creativity; Interpersonal communication; Productivity; Empirical evidence; Sociology; Social psychology; Psychology; Demographic economics; Economic geography; Economics; Economic growth; Political science; Epistemology; Law; Evolutionary biology; Philosophy; Anthropology; Biology","Triangle"
"Civil Service Reforms: Evidence from U.S. Police Departments","2019","Psychology; Criminology; Applied psychology","Boston"
"Cleaning the Census of Retail Trade Product Lines Data","2022","Business cycle; Economics; Business; Keynesian economics","Boston"
"Climate Change, The Food Problem, and the Challenge of Adaptation through Sectoral Reallocation","2020","Economics; Productivity; Counterfactual thinking; Climate change; Agricultural productivity; Subsistence agriculture; Agriculture; Natural resource economics; Effects of global warming; Openness to experience; Production (economics); Developing country; International economics; Global warming; Macroeconomics; Economic growth; Geography; Ecology; Psychology; Social psychology; Philosophy; Archaeology; Epistemology; Biology","Chicago"
"Clusters and Entrepreneurship","2010","Entrepreneurship; Economies of agglomeration; Convergence (economics); Incentive; Economic geography; Externality; Business cluster; Cluster (spacecraft); Business; Panel data; Industrial organization; Census; Focus (optics); Empirical evidence; Start up; Economics; Microeconomics; Econometrics; Economic growth; Finance; Population; Philosophy; Business administration; Physics; Demography; Optics; Epistemology; Sociology; Computer science; Programming language; Mechanism (biology)","Boston"
