Title,Year,Agency,Keywords
Levels and Trends in U.S. Income and its Distribution: A Crosswalk from Market Income towards a Comprehensive Haig-Simons Income Approach,2014,Cornell,income;comprehensive;crosswalk;distribution;haig
Deconstructing Income and Income Inequality Measures: A Cross-Walk from Market Income to Comprehensive Income,2013,Cornell,income;walk market;cross;deconstructing
Accounting for Income Changes over the Great Recession: The Importance of Taxes and Transfers,2015,Cornell,transfers;taxes;recession importance
Accounting for Income Changes over the Great Recession (2007-2010) Relative to Previous Recessions: The Importance of Taxes and Transfers,2013,Cornell,transfers;importance taxes;2007 2010;2010 relative;accounting
Offshoring Bias in U.S. Manufacturing: Implications for Productivity and Value Added,2010,Washington,value added;productivity value;offshoring bias
"Importing, Exporting and Firm-Level Employment Volatility",2013,Washington,volatility;level employment
A Warm Embrace or the Cold Shoulder? Wage and Employment Outcomes in Ethnic Enclaves,2014,UCLA,warm embrace;ethnic;cold shoulder;embrace cold
A Warm Embrace or the Cold Shoulder: Wage and Employment Outcomes in Ethnic Enclaves,2008,UCLA,warm embrace;ethnic;cold shoulder;embrace cold
Assessing the Incidence and Efficiency of a Prominent Place Based Policy,2011,Michigan,prominent place;policy;place based
Assessing the Incidence and Efficiency of a Prominent Place Based Policy,2013,Michigan,prominent place;policy;place based
Assessing the Incidence and Efficiency of a Prominent Place Based Policy,2011,Michigan,prominent place;policy;place based
Tiebout Sorting and Neighborhood Stratification,2011,Triangle,tiebout sorting;stratification
Tiebout Sorting and Neighborhood Stratification,2012,Triangle,tiebout sorting;stratification
Framing Social Security Reform: Behavioral Responses to Changes in the Full Retirement Age,2012,Triangle,social security;reform;behavioral;changes
Firms in International Trade,2007,Boston,trade;international
International Harmonization of Product Standards and Firm Heterogeneity in International Trade,2011,Boston,international;trade;standards firm
Firms in International Trade,2007,Boston,trade;international
Antidumping Duties and Plant-Level Restructuring,2013,Boston,restructuring;plant level
Multiregional Firms and Region Switching in the US Manufacturing Sector,2015,Boston,switching manufacturing;sector
Are All Trade Protection Policies Created Equal? Empirical Evidence for Nonequivalent Market Power Effects of Tariffs and Quotas,2013,Boston,trade protection;market power;created equal;effects;empirical;evidence
Intra-Firm Trade and Product Contractibility (Long Version),2010,Boston,version;trade product
Wholesalers and Retailers in U.S. Trade,2010,Boston,wholesalers retailers;trade
Intra-Firm Trade and Product Contractibility,2013,Boston,trade product;product contractibility
Firms in International Trade,2007,Boston,trade;international
Antidumping Duties and Plant-Level Restructuring,2013,Boston,restructuring;plant level
Firms in International Trade,2007,Boston,trade;international
"Tariff Pass-Through, Firm Heterogeneity and Product Quality",2010,Boston,tariff pass;quality
"Tariff Pass-Through, Firm Heterogeneity and Product Quality",2016,Boston,tariff pass;quality
Multiregional Firms and Region Switching in the US Manufacturing Sector,2018,Boston,switching manufacturing;sector
Firms in International Trade,2007,Boston,trade;international
Firms in International Trade,2007,Boston,trade;international
Wholesalers and Retailers in U.S. Trade,2012,Boston,wholesalers retailers;trade
Manufacturing Solutions: Explaining E-Commerce Adoption in Manufacturing Firms,2012,Chicago,manufacturing;solutions explaining
Who Moves to Mixed-Income Neighborhoods?,2011,Triangle,neighborhoods;moves mixed
Who Moves to Mixed-Income Neighborhoods?,2010,Triangle,neighborhoods;moves mixed
Fifty Years of Family Planning: New Evidence on the Long-Run Effects of Increasing Access to Contraception,2014,Michigan,years family;increasing;access contraception;effects
The Opt-In Revolution: Contraception and the Gender Gap in Wages,2012,Michigan,wages;revolution contraception
Fifty Years of Family Planning: New Evidence on the Long-Run Effects of Increasing Access to Contraception,2013,Michigan,years family;increasing;access contraception;effects
What Do I Take with Me: The Impact of Transfer and Replication of Resources on Parent and Spin-Out Firm Performance,2015,Chicago,transfer replication;spin firm;resources parent
Cutting the Gordian Knot: The Effect of Knowledge Complexity on Employee Mobility and Entrepreneurship,2013,Chicago,mobility entrepreneurship;employee mobility;complexity employee;cutting
The Effect of Firm Compensation Structures on Employee Mobility and Employee Entrepreneurship of Extreme Performers,2010,Chicago,employee;structures;effect;entrepreneurship;extreme
Heterogeneity in Turnover: The Effect of Relative Compensation Dispersion of Firms on the Mobility and Entrepreneurship of Extreme Performers,2012,Chicago,turnover effect;extreme performers;compensation dispersion;dispersion firms;effect relative
"Who Leaves, Where To, and Why Worry? Employee Mobility, Entrepreneurship and Effects on Source Firm Performance",2012,Chicago,worry employee;firm performance;effects source;employee mobility
What Do I Take With Me? The Mediating Effect of Spin-Out Team Size and Tenure on the Founder-Firm Performance Relationship,2016,Chicago,tenure founder;performance;effect spin
What Do I Take with Me? The Mediating Effect of Spin-Out Team Size and Tenure on the Founder-Firm Performance Relationship,2013,Chicago,tenure founder;performance;effect spin
What Do I Take With Me: The Impact of Transfer and Replication of Resources on Parent and Spin-Out Firm Performance,2011,Chicago,transfer replication;spin firm;resources parent
The Teachers Who Leave: Pulled by Opportunity or Pushed by Accountability?,2011,Berkeley,teachers leave;pushed accountability
"Increased Accountability, Teachers' Effort, and Moonlighting",2010,Berkeley,teachers effort;moonlighting
"Declines in Employer Sponsored Coverage between 2000 and 2008: Offers, Take-Up, Premium Contributions, and Dependent Options",2010,Washington,sponsored coverage;declines employer;2000 2008;2008 offers;contributions
Parity for Whom? Exemptions and the Extent of State Mental Health Parity Legislation,2007,Washington,parity;state mental;mental health
Tax-Subsidies for Out-of-Pocket Health Care Costs,2008,Washington,tax subsidies;subsidies pocket
The Health Insurance Status of Low-Wage Workers:  The Role of Workplace Composition and Marital Status,2011,Washington,status;workplace composition;marital;health
Premium Growth and Its Effect on Employer-Sponsored Insurance,2011,Washington,sponsored insurance;premium growth
Declines in Employer-Sponsored Insurance between 2000 and 2008: Examining the Components of Coverage by Firm Size,2012,Washington,sponsored insurance;declines employer;2000 2008;2008 examining
“Characteristics of Employers Providing Dental Coverage in the U.S.,2010,Washington,providing dental;employers providing
Do Local Managers Give Labor an Edge?,2013,Michigan,managers labor;local managers
Do Managers Give Hometown Labor an Edge?,2017,Michigan,managers hometown;labor edge
Career Concerns and the Busy Life of the Young CEO,2011,Michigan,young ceo;life young
Career Concerns and the Busy Life of the Young CEO,2017,Michigan,young ceo;life young
Building New Plants or Entering by Acquisition? Firm Heterogeneity and Entry Barriers in the U.S. Cement Industry,2015,Chicago,plants entering;entering acquisition;acquisition firm;barriers;building
Materials Prices and Productivity,2012,Chicago,productivity;prices
Micro Data and Macro Technology,2021,Chicago,technology;micro data
Beyond Cobb-Douglas: Estimation of a CES Production Function with Factor Augmenting Technology,2011,Chicago,technology;douglas estimation;ces
Micro Data and Macro Technology,2015,Chicago,technology;micro data
Why Do Firms Own Production Chains?,2012,Chicago,production chains;firms production
"Cementing Relationships: Vertical Integration, Foreclosure, Productivity, and Prices",2007,Chicago,vertical integration;relationships vertical;productivity prices
"Cementing Relationships: Vertical Integration, Foreclosure, Productivity, and Prices",2008,Chicago,vertical integration;relationships vertical;productivity prices
Micro Data and the Macro Elasticity of Substitution,2012,Chicago,substitution;micro data
The Effects of Environmental Regulation on the Competitiveness of U.S. Manufacturing,2012,Chicago,regulation competitiveness;manufacturing
Vertical Integration and Input Flows,2014,Chicago,vertical integration;integration input
Materials Prices and Productivity,2014,Chicago,productivity;prices
"Cementing Relationships: Vertical Integration, Foreclosure, Productivity, and Prices",2006,Chicago,vertical integration;relationships vertical;productivity prices
"Cementing Relationships: Vertical Integration, Foreclosure, Productivity, and Prices",2007,Chicago,vertical integration;relationships vertical;productivity prices
Why Do Firms Own Production Chains?,2009,Chicago,production chains;firms production
The Effects of Environmental Regulation on the Competitiveness of U.S. Manufacturing,2011,Chicago,regulation competitiveness;manufacturing
